dataset,source,scraped_date,category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,platform,tags
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Reliable 10kg Westpool Washing Machine,3000.0,Brand New,Greater Accra,Avenor Area,"Greater Accra, Avenor Area","Verified ID, 5+ years on Jiji","Our washing machine operates quietly , reducing noise pollution and making it perfect for homes with...",False,Platform A,
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Unleash The Power Of Clean With Jid’S Trusted Products.,200.0,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",5+ years on Jiji,"Experience the Power of Professional Cleaning
Only with Jid — your trusted cleaning partner.",False,Platform A,
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Corner Light Decor,290.0,,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan",Verified ID,Smart corner floor light Living Rooms and Bedrooms: Create a relaxing or vibrant ambiance for...,False,Platform A,
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Eco-Friendly Hydrocarbon Refrigerant With Zero Ozone Depletion.,495.0,Brand New,Greater Accra,Airport Residential Area,"Greater Accra, Airport Residential Area","Verified ID, 5+ years on Jiji",99.9% purity - disposable cylinder freon,False,Platform A,
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances","Neon Light Single Colour 5m- Purple, Pink, Warm, Blue, Orange",150.0,,Greater Accra,Dome,"Greater Accra, Dome","Verified ID, 5+ years on Jiji","5m.neon rope light
Colour
Pink
Purple
Blue
Warm.
Orange",False,Platform A,
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Asona 2.0hp Air Condition Heavy Duty Cooling Asona 2.0hp Safe Guard,4500.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,"Beat the heat effortlessly with the Asano 2.0HP Air Conditioner, built with advanced cooling...",False,Platform A,
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Golden Lifestyle Air Conditioners 1.5hp Air Conditioners Asano,2599.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,#one year warranty assured #R410A gas #100 copper #Affordable and durable #Visit our showroom...,False,Platform A,
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",150w Suiming Street Light,450.0,Bulk prices,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",5+ years on Jiji,"Illuminate your compound, street, market place, Church, mosque, schools, hostels, Sport centers etc...",False,Platform A,
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances","10m RGB-Ic Smart Neon Rope Light – App Control, Music Sync Dream Color",270.0,,Greater Accra,Adenta,"Greater Accra, Adenta",,"10M RGB-IC Smart Neon Rope Light – App Control, Music Sync & Dream ColorTransform your space with...",False,Platform A,
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Ceiling Panel Light,1350.0,,Greater Accra,Pokuase,"Greater Accra, Pokuase",Verified ID,"Ceiling panel light 
3colored light.",False,Platform A,
