dataset,source,scraped_date,category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,platform,tags
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,iPhone 7. Complete Housing,300.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",3+ years on Jiji,"Comes with:
• The switches,
• Charging system
• Down speaker, and more",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,New Apple iPhone 15 Pro Max 256 GB Silver,8500.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,"Fresh, neat and nice",True,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,New Idino Notebook Mac 512 GB,1400.0,Brand New,Western Region,Tarkwa Nsuaem,"Western Region, Tarkwa Nsuaem",Verified ID,"Very sleek 
Going for a cool price",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Appllp 4 Max,1700.0,Brand New,Greater Accra,Sege,"Greater Accra, Sege","Verified ID, 5+ years on Jiji",Brand New and Waterproof Appllp 4 Max Smartwatch for sale at cool price. The Watch Uses Sim Card and...,False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,New Samsung Galaxy Tab A9 128 GB Gray,2050.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle","Verified ID, 3+ years on Jiji","Brand new, sealed in box Samsung Galaxy Tab A9 128GB 8GB RAM. This product comes with 24 months...",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Uk Sim Card Available for All Verification and Calls,250.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",5+ years on Jiji,"We sell uk sim cards that works in 180 countries of the world including ghana. no contract, pay only...",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Apple iPad Air 64 GB Silver,1200.0,Used,Greater Accra,Bubuashie,"Greater Accra, Bubuashie",,"Apple iPad Air 2 with 64gb storage
Please note: Accessories not included",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,New C idea CM7000 Plus 512 GB Black,2000.0,Brand New,Greater Accra,Spintex,"Greater Accra, Spintex",5+ years on Jiji,"C idea Android 12Tablets CM7800, 10 Inch Tablet Dual Camera Sim Tablet on Sale With Case Included...",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,New Tablet 512 GB,1000.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",Popular,Smart king S13 ultra adult tarblet with wireless keyboard and optical mouse connect bia (...,False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Fitpro Waterproof Smartwatches:,200.0,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka","Verified ID, 5+ years on Jiji",Brand New In Box With All Accessories,False,Platform A,
